match id,batsman,batsman_id,batsman_details,is_batsman_captain,is_batsman_keeper,inning,runs,balls_faced,over_faced_first,wicket kind,out_by_bowler,out_by_fielder,bowler_id,bowler_details,is_bowler_keeper,is_bowler_captain,strike_rate,Fours,Sixes,match_dt
8638034,KD Ce,7907451.0,NZ:Right-hand bat:Right-arm medium-fast:,0.0,0.0,1,7,5,1.1,caught,JS Nm,TM Jn,2486896.0,NZ:Left-hand bat:Right-arm medium-fast:,0.0,0.0,140.0,1.0,,2021-01-01
8638034,TL St,4381761.0,NZ:Right-hand bat:None:,0.0,1.0,1,46,46,1.2,caught,R Ra,MG Bl,6718382.0,NZ:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,100.0,4.0,1.0,2021-01-01
8638034,HR Cr,4949790.0,NZ:Right-hand bat:Right-arm offbreak:,0.0,0.0,1,9,10,12.1,caught,PF Yd,R Ra,4950294.0,NZ:Right-hand bat:Legbreak googly:,0.0,0.0,90.0,,,2021-01-01
8638034,BR Hn,3834305.0,NZ:Right-hand bat:Right-arm medium-fast:,0.0,0.0,1,28,22,13.6,caught,HK Bt,FH An,1585464.0,NZ:Left-hand bat:Right-arm medium-fast:,0.0,0.0,127.27,3.0,,2021-01-01
8638034,SC Kn,3776849.0,NZ:Right-hand bat:Right-arm fast-medium:,0.0,0.0,1,18,13,17.2,,,None,,,,,138.46,,1.0,2021-01-01
8638034,ZN Gn,6718340.0,NZ:Right-hand bat:Right-arm medium:,0.0,0.0,1,1,2,20.3,,,None,,,,,50.0,,,2021-01-01
8638034,DG Be,31464.0,NZ:Right-hand bat:Right-arm medium:,0.0,0.0,1,8,11,5.1,caught,JS Nm,HK Bt,2486896.0,NZ:Left-hand bat:Right-arm medium-fast:,0.0,0.0,72.73,1.0,,2021-01-01
8638034,AP Dh,258649.0,NZ:Left-hand bat:Slow left-arm orthodox:,1.0,0.0,1,19,12,8.1,caught,LV vn Bk,MG Bl,3083667.0,NED:Right-hand bat:Right-arm medium-fast:,0.0,0.0,158.33,2.0,1.0,2021-01-01
8638034,DP Cy,2653993.0,NZ:Left-hand bat:Right-arm medium:,0.0,1.0,2,13,15,1.1,caught,SC Kn,ZN Gn,3776849.0,NZ:Right-hand bat:Right-arm fast-medium:,0.0,0.0,86.67,1.0,,2021-01-01
8638034,FH An,6718326.0,NZ:Right-hand bat:None:,0.0,0.0,2,91,50,1.2,,,None,,,,,182.0,7.0,5.0,2021-01-01
8638034,R Ra,6718382.0,NZ:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,2,40,31,6.1,,,None,,,,,129.03,3.0,2.0,2021-01-01
8588005,AJ Fh,37351.0,AUS:Right-hand bat:Slow left-arm orthodox:,1.0,0.0,1,18,13,1.1,caught,N Mw,SW Bs,5497274.0,AUS:Right-hand bat:Right-arm medium-fast:,0.0,0.0,138.46,1.0,1.0,2021-01-01
8588005,SE Mh,46794.0,AUS:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,1,87,48,1.5,caught,N Mw,CJ Gn,5497274.0,AUS:Right-hand bat:Right-arm medium-fast:,0.0,0.0,181.25,5.0,5.0,2021-01-01
8588005,Id Wm,1594319.0,PAK:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,1,8,4,16.6,,,None,,,,,200.0,1.0,,2021-01-01
8588005,MW Hy,7534687.0,AUS:Left-hand bat:Right-arm medium-fast:,0.0,0.0,1,1,2,16.7,bowled,DR Ss,None,5788320.0,AUS:Right-hand bat:Left-arm fast-medium:,0.0,0.0,50.0,,,2021-01-01
8588005,W Sd,7537067.0,AUS:Right-hand bat:Right-arm medium-fast:,0.0,0.0,1,1,2,17.2,,,None,,,,,50.0,,,2021-01-01
8588005,SB Hr,5406540.0,AUS:Right-hand bat:None:,0.0,1.0,1,7,6,4.1,caught,CP Tn,O Ds,3876613.0,AUS:Right-hand bat:Right-arm medium-fast:,0.0,0.0,116.67,1.0,,2021-01-01
8588005,RR Rw,2231928.0,SA:Left-hand bat:Right-arm offbreak:,0.0,0.0,1,3,4,5.5,caught,T Sa,CJ Gn,8193310.0,AUS:Right-hand bat:Legbreak:,0.0,0.0,75.0,,,2021-01-01
8588005,Md Ni,181404.0,AFG:Right-hand bat:Right-arm offbreak:,0.0,0.0,1,33,24,7.5,caught,N Mw,CJ Gn,5497274.0,AUS:Right-hand bat:Right-arm medium-fast:,0.0,0.0,137.5,1.0,3.0,2021-01-01
8588005,UT Ka,1506098.0,AUS:Left-hand bat:Right-arm medium:,0.0,0.0,2,48,34,1.1,,,None,,,,,141.18,6.0,,2021-01-01
8588005,AD Hs,1749075.0,ENG:Right-hand bat:Right-arm medium:,0.0,0.0,2,45,19,1.2,caught,M Py,MW Hy,7620346.0,AUS:Left-hand bat:Right-arm fast-medium:,0.0,0.0,236.84,7.0,2.0,2021-01-01
8588005,CJ Fn,36665.0,AUS:Right-hand bat:Right-arm medium:,1.0,0.0,2,11,9,5.4,lbw,Id Wm,None,1594319.0,PAK:Left-hand bat:Slow left-arm orthodox:,0.0,0.0,122.22,1.0,,2021-01-01
8588005,SW Bs,2083409.0,ENG:Right-hand bat:None:,0.0,1.0,2,10,10,9.2,,,None,,,,,100.0,1.0,,2021-01-01
8587837,JR Pe,7869987.0,AUS:Right-hand bat:None:,0.0,1.0,1,48,36,1.1,lbw,XC Bt,None,7353828.0,AUS:Right-hand bat:Right-arm fast-medium:,0.0,0.0,133.33,2.0,2.0,2021-01-02
8587837,J Es,7620283.0,AUS:Right-hand bat:Right-arm medium:,0.0,0.0,1,10,10,1.3,caught,Mb Ur Rn,JA Bs,6818776.0,AFG:Right-hand bat:Right-arm offbreak:,0.0,0.0,100.0,1.0,,2021-01-02
8587837,JC Sk,3063696.0,AUS:Right-hand bat:None:,0.0,0.0,1,43,27,10.6,bowled,MT Se,None,3890984.0,AUS:Right-hand bat:Right-arm fast-medium:,0.0,0.0,159.26,5.0,,2021-01-02
8587837,DT Cn,34061.0,AUS:Right-hand bat:Right-arm fast-medium:,0.0,0.0,1,6,5,13.2,lbw,Mb Ur Rn,None,6818776.0,AFG:Right-hand bat:Right-arm offbreak:,0.0,0.0,120.0,1.0,,2021-01-02
8587837,CR Be,3200756.0,WI:Right-hand bat:Right-arm fast-medium:,0.0,0.0,1,0,3,14.5,caught,MT Se,SD Ht (sub),3890984.0,AUS:Right-hand bat:Right-arm fast-medium:,0.0,0.0,0.0,,,2021-01-02
8587837,BJ Ds,4756982.0,AUS:Left-hand bat:Left-arm fast-medium:,0.0,0.0,1,24,16,15.5,,,None,,,,,150.0,1.0,1.0,2021-01-02
8587837,BD Mi,7455818.0,ITA:Right-hand bat:Right-arm offbreak:,0.0,0.0,1,0,1,19.3,caught,MT Se,JA Bs,3890984.0,AUS:Right-hand bat:Right-arm fast-medium:,0.0,0.0,0.0,,,2021-01-02
