match id,team1,team2,winner,by,win amount,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,umpire1,umpire2,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,team1_id,team1_roster_ids,team2_id,team2_roster_ids,series_type,winner_id,player_of_the_match_id
8638034,Nn Ds,Wn,Wn,wickets,9.0,Wn,field,By Ol,Mount Maunganui,2021-01-01,night match,Sr Sh,2020/21,17681,Dn Mw,TJ Pe,148,6,130,152.0,1.0,97.0,17982,7907451.0:4381761.0:31464.0:258649.0:4949790.0:3834305.0:3776849.0:6718340.0:3566240.0:4950364.0:7543647.0,18570,2653993.0:6718326.0:6718382.0:2486896.0:2288789.0:4950224.0:8187878.0:3083667.0:4950294.0:6718396.0:1585464.0,other_domestic,18570,
8588005,Me Rs,Sy Tr,Sy Tr,runs,7.0,Sy Tr,field,Ca Ol,Carrara,2021-01-01,night match,Bg Bh Le,2020/21,6663,D Tr,PJ Ge,166,6,106,117.0,2.0,74.0,33942,37351.0:46794.0:5406540.0:2231928.0:181404.0:1594319.0:7534687.0:7537067.0:1905847.0:8339701.0:7620346.0,33963,1506098.0:1749075.0:36665.0:2083409.0:7534652.0:5788320.0:1612610.0:5509524.0:5497274.0:3876613.0:8193310.0,other_domestic,33963,1749075.0
8587837,Sy Ss,Be Ht,Be Ht,wickets,4.0,Sy Ss,bat,Be Ct Gd,Brisbane,2021-01-02,night match,Bg Bh Le,2020/21,1476,GJ Dn,PJ Ge,165,8,126,171.0,6.0,119.0,33956,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:4756982.0:7455818.0:49496.0:1506077.0,33921,7620269.0:2286437.0:87191.0:5786766.0:3114803.0:2535420.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0:5419546.0,other_domestic,33921,3890984.0
8638041,Nn Ds,Oo,Oo,wickets,2.0,Oo,field,By Ol,Mount Maunganui,2021-01-02,night match,Sr Sh,2020/21,17681,GA St,TJ Pe,153,7,128,156.0,8.0,126.0,17982,7907451.0:4381761.0:31464.0:4949790.0:258649.0:3834305.0:3776849.0:7543647.0:6718340.0:3566240.0:7907458.0,18360,2319638.0:256080.0:7918280.0:3913447.0:2690498.0:6129276.0:2666705.0:6317142.0:3834375.0:2236086.0:4195827.0,other_domestic,18360,
8587921,Ht Hs,Me Ss,Ht Hs,runs,21.0,Me Ss,field,Be Ol,Hobart,2021-01-02,day/night match,Bg Bh Le,2020/21,6348,GA Ad,NR Je,164,5,126,143.0,9.0,123.0,33928,4223883.0:2161599.0:1655436.0:5788418.0:319948.0:6249256.0:2340372.0:309056.0:3125849.0:6732004.0:6722540.0,33949,363047.0:2275097.0:3901078.0:2275195.0:4230127.0:2720759.0:2337117.0:6308098.0:7877232.0:3731307.0:4985546.0:2336473.0,other_domestic,33928,3125849.0
8638048,Ad,Cy,Cy,wickets,10.0,Cy,field,En Pk Or Ol,Auckland,2021-01-03,day match,Sr Sh,2020/21,5081,A Ma,JK By,52,4,33,55.0,0.0,28.0,17583,5764576.0:3069954.0:3935854.0:3913440.0:4949776.0:8144184.0:270262.0:6718438.0:5560190.0:7878765.0:7565697.0,17653,4381747.0:2659243.0:3682160.0:4381705.0:3834361.0:8683562.0:3913433.0:1495731.0:4136404.0:3834319.0:7871310.0,other_domestic,17653,
8587907,Ae Ss,Sy Ss,Sy Ss,wickets,7.0,Sy Ss,field,Ca Ol,Carrara,2021-01-03,night match,Bg Bh Le,2020/21,6663,GJ Dn,AK Ws,150,4,125,151.0,3.0,108.0,33914,4685568.0:5056134.0:2285051.0:1635773.0:5469008.0:5776490.0:5554254.0:3901099.0:2170762.0:6718844.0:55299.0,33956,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:4756982.0:7455818.0:2904943.0:7537060.0,other_domestic,33956,7869987.0
8587984,Ph Ss,Me Rs,Ph Ss,runs,96.0,Me Rs,field,Ph Sm,Perth,2021-01-03,day match,Bg Bh Le,2020/21,23841,MW Gh,SA Ly,185,3,124,89.0,10.0,80.0,33935,2089079.0:2827327.0:4635658.0:1626526.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33942,5406540.0:46794.0:37351.0:2669316.0:181404.0:2231928.0:6842170.0:1905847.0:1906708.0:8339701.0:8277716.0,other_domestic,33935,4635658.0
8638055,Cl Ds,Nn Ds,Nn Ds,wickets,6.0,Nn Ds,field,Sn Pk,Hamilton,2021-01-04,night match,Sr Sh,2020/21,3541,Gn Wn,JM Dy,117,9,124,122.0,4.0,107.0,17744,1945390.0:6487032.0:3083632.0:6496118.0:2537800.0:1626540.0:3558316.0:4170494.0:8354821.0:5984376.0:8447396.0,17982,7907451.0:4381761.0:31464.0:4949790.0:258649.0:3834305.0:3776849.0:6718340.0:3566240.0:7543647.0:7907458.0,other_domestic,17982,
8588166,Me Ss,Ht Hs,Me Ss,runs,10.0,Ht Hs,field,Be Ol,Hobart,2021-01-04,day/night match,Bg Bh Le,2020/21,6348,GA Ad,NR Je,183,6,122,173.0,6.0,124.0,33949,363047.0:2275097.0:3737103.0:2275195.0:4230127.0:3901078.0:3501882.0:2656541.0:6308098.0:2337117.0:3731307.0,33928,4223883.0:2161599.0:1655436.0:319948.0:6249256.0:2340372.0:5788418.0:309056.0:3125849.0:6732004.0:6722540.0,other_domestic,33949,2275097.0
8587970,Sy Tr,Be Ht,Be Ht,wickets,5.0,Sy Tr,bat,Be Ct Gd,Brisbane,2021-01-04,night match,Bg Bh Le,2020/21,1476,PJ Ge,AK Ws,174,8,123,175.0,5.0,124.0,33963,1506098.0:1749075.0:36665.0:2083409.0:7534652.0:5788320.0:1612610.0:5509524.0:5497274.0:3156033.0:8193310.0:3876613.0,33921,7620269.0:2286472.0:87191.0:2286437.0:2535420.0:3114803.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0:5419546.0,other_domestic,33921,2286437.0
8587844,Ae Ss,Me Rs,Ae Ss,runs,60.0,Ae Ss,bat,Ae Ol,Adelaide,2021-01-05,night match,Bg Bh Le,2020/21,930,DR Ce,SJ Ni,171,5,126,111.0,10.0,116.0,33914,5056134.0:4685568.0:2285051.0:1635773.0:5776490.0:5469008.0:5554254.0:2170762.0:6718844.0:55299.0:3890998.0,33942,37351.0:7534687.0:5406540.0:181404.0:2669316.0:1594319.0:8176356.0:6842170.0:1905847.0:1906708.0:8277716.0,other_domestic,33914,5776490.0
8587816,Ph Ss,Sy Ss,Ph Ss,runs,86.0,Sy Ss,field,Ph Sm,Perth,2021-01-06,day/night match,Bg Bh Le,2020/21,23841,DM Kh,MW Gh,183,4,123,97.0,10.0,100.0,33935,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1907352.0:1684276.0,33956,7869987.0:7620283.0:2076192.0:4002340.0:3063696.0:34061.0:3200756.0:49496.0:1506077.0:2904943.0:7537060.0:4756982.0,other_domestic,33935,1907163.0
8587858,Be Ht,Me Ss,Be Ht,runs,17.0,Me Ss,field,Ca Ol,Carrara,2021-01-07,night match,Bg Bh Le,2020/21,6663,GA Ad,PJ Ge,115,3,63,111.0,5.0,61.0,33921,7620269.0:2286472.0:87191.0:2286437.0:2535420.0:3114803.0:4967738.0:3995991.0:3890984.0:7353828.0:6818776.0,33949,363047.0:2275097.0:4230127.0:2275195.0:3901078.0:3737103.0:3501882.0:2656541.0:2337117.0:8131255.0:3731307.0,other_domestic,33921,2286472.0
8588110,Sy Tr,Ht Hs,Sy Tr,runs,39.0,Ht Hs,field,Ph Sm,Perth,2021-01-07,day/night match,Bg Bh Le,2020/21,23841,DM Kh,NR Je,167,5,123,128.0,8.0,125.0,33963,1506098.0:1749075.0:36665.0:2083409.0:2335381.0:6308112.0:1612610.0:5497274.0:5509524.0:3156033.0:8193310.0,33928,4223883.0:2161599.0:1655436.0:2340372.0:319948.0:6249256.0:5716402.0:5788418.0:3510499.0:3125849.0:6722540.0:309056.0,other_domestic,33963,5497274.0
8638062,Cl Ds,Oo,Cl Ds,runs,53.0,Oo,field,Uy Ol,Dunedin,2021-01-08,day match,Sr Sh,2020/21,5396,DJ Wr,JK By,223,5,127,170.0,8.0,126.0,17744,1945390.0:8212917.0:3834256.0:3083632.0:6496118.0:2537800.0:6487032.0:1626540.0:8354821.0:4170494.0:5984376.0,18360,2319638.0:256080.0:7918280.0:3913447.0:6129276.0:2690498.0:2236086.0:2666705.0:3834375.0:4195827.0:4359417.0,other_domestic,17744,
8587795,Ae Ss,Me Rs,Me Rs,wickets,6.0,Ae Ss,bat,Ae Ol,Adelaide,2021-01-08,day/night match,Bg Bh Le,2020/21,930,DR Ce,D Tr,177,7,126,178.0,4.0,122.0,33914,5056134.0:4685568.0:2285051.0:5469008.0:5776490.0:1635773.0:5554254.0:2170762.0:6718844.0:55299.0:3890998.0,33942,7534687.0:37351.0:5406540.0:181404.0:6842170.0:8176356.0:2669316.0:1594319.0:1905847.0:8339701.0:8277716.0,other_domestic,33942,181404.0
8588159,Ph Ss,Sy Tr,Ph Ss,runs,17.0,Sy Tr,field,Ph Sm,Perth,2021-01-09,day/night match,Bg Bh Le,2020/21,23841,DM Kh,MW Gh,185,6,123,168.0,10.0,123.0,33935,2089079.0:2827327.0:1626526.0:4635658.0:1907163.0:3501889.0:7869994.0:5419574.0:3216569.0:1684276.0:1907352.0,33963,1506098.0:1749075.0:36665.0:2083409.0:2335381.0:1612610.0:5497274.0:5509524.0:3156033.0:6521234.0:8193310.0,other_domestic,33935,5419574.0
8638069,Wn,Nn Ds,Wn,runs,80.0,Nn Ds,field,Bn Re,Wellington,2021-01-09,day match,Sr Sh,2020/21,825,BF Bn,TJ Pe,185,7,124,105.0,10.0,99.0,18570,6718326.0:2653993.0:3083625.0:2486896.0:2288789.0:4950224.0:6718382.0:8187878.0:3083667.0:4950294.0:1585464.0,17982,7907451.0:4381761.0:1945411.0:3913426.0:258649.0:3519011.0:3834305.0:3776849.0:6718340.0:3566240.0:7907458.0,other_domestic,18570,
